E_no,E_Category,E_Name,E_Pic_URL,E_Info,E_Memo,E_Geo,E_URL
"1",戶外區,臺灣動物區,http://www.zoo.gov.tw/iTAP/05_Exhibit/01_FormosanAnimal.jpg,臺灣動物區以臺灣原生動物與棲息環境為展示重點，佈置模擬動物原生棲地之生態環境，讓動物表現如野外般自然的生活習性，引導觀賞者更正確地認識本土野生動物。臺灣位處於亞熱帶，雨量充沛、氣候溫暖，擁有各種地形景觀，因而孕育了豐富龐雜的生物資源。,,MULTIPOINT ((121.5805931 24.9985962)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=12
"2",戶外區,兒童動物區,http://www.zoo.gov.tw/iTAP/05_Exhibit/02_ChildrenZoo.jpg,兒童動物區依循著人類與動物關係的演變而規劃多樣物種展示，包括作物生態展示、農莊動物展示區、小型食肉目動物展示區、靈長類區、外來種區以及動物行為學院。其中農莊展示有不定期的稻作及水車展現臺灣先民以農立國的精神。家禽區開放展示讓遊客在區內漫步時，得以有與雞鴨鵝群相遇的驚喜。走入式有蹄動物配合定時餵食，讓遊客近距離觀察奇蹄與偶蹄目的外觀差異。靈長類區則有著非洲舊世界猴與冠鶴的混種展示。,,MULTIPOINT ((121.5819383 24.9989718)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=13
"3",戶外區,熱帶雨林區,http://www.zoo.gov.tw/iTAP/05_Exhibit/03_TropicalRainforest.jpg,熱帶雨林區的展示空間，以南美洲亞馬遜河流域環境以及亞洲東南亞熱帶雨林為主軸，展示熱帶雨林生物多樣性特色與氛圍，完整呈現分布在赤道附近，高溫潮溼且植物種類繁多的熱帶雨林意象，進一步強化動物園推動生物多樣性保育研究與教育的功能。,,MULTIPOINT ((121.5834188 24.9950215)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=14
"4",戶外區,沙漠動物區,http://www.zoo.gov.tw/iTAP/05_Exhibit/04_DesertAnimal.jpg,沙漠動物區以隨風搖曳的棕櫚樹模擬中東地區的沙漠環境，展示具代表性的單峰駱駝、雙峰駱駝、非洲野驢和弓角羚羊等。來到這裡，你就能知道動物用什麼方式適應乾旱、高溫及晝夜溫差大的氣候呢？,,MULTIPOINT ((121.5851489 24.9952621)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=15
"5",戶外區,澳洲動物區,http://www.zoo.gov.tw/iTAP/05_Exhibit/05_AustralianAnimal.jpg,澳洲動物區栽種許多澳洲特有的桉樹，在這裡可以遇到袋鼠、鴯?和食火雞。澳洲大陸長時間與其他陸塊隔離，繁衍並演化出與其他陸域不同形態的物種，值得大小朋友一同來認識牠們喔！,,MULTIPOINT ((121.5853326 24.994184)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=16
"6",戶外區,非洲動物區,http://www.zoo.gov.tw/iTAP/05_Exhibit/06_AfricanAnimal.jpg,非洲動物區多採動物混群的展示方式，模擬東非莽原情境，讓參觀者在視覺上宛如置身非洲草原。非洲大陸被譽為「野生動物王國」，擁有世界最龐大的動物族群，不僅動物種類豐富，數量亦最為壯觀，快來這裡拜訪陸地上體型最大和身高最高的動物吧！,,MULTIPOINT ((121.5880094 24.9951333)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=17
"7",戶外區,溫帶動物區,http://www.zoo.gov.tw/iTAP/05_Exhibit/07_TemperateZone.jpg,溫帶動物區有棲息於溫帶草原和森林中的動物。地球上廣大的溫帶氣候區有沙漠、草原、落葉林及針帶林等不同生態環境，因此動物種類繁多。然而溫帶氣候也很適合人類居住，因此這裡的動物大多面臨棲息地減少或其他與人有關的生存危機，需要我們一起來關心牠們的保育。,,MULTIPOINT ((121.5896013 24.9931447)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=18
"8",戶外區,鳥園區,http://www.zoo.gov.tw/iTAP/05_Exhibit/08_BirdWorld.jpg,鳥園包括鳥類形態區、雉類與珍禽區、鶴園、鸚鵡屋、生態鳥園及水禽區，可以觀察到住在不同棲息地的鳥類，是都會環境中難得的賞鳥據點。歡迎放慢腳步，聽聽悅耳鳥鳴、看看羽色繽紛的輕盈身影，感受另一個廣闊而自由的世界。,,MULTIPOINT ((121.5888946 24.9957179)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=19
"9",室內區,教育中心,http://www.zoo.gov.tw/iTAP/05_Exhibit/09_EducationCenter.jpg,教育中心包括博物館展示區、圖書館、演講廳、動物藝坊及動物學堂等，為本園展示動物園文化的櫥窗。館內以動物標本、生態全景展示傳達動物知識及保育觀念，最特別的是還有亞洲象「林旺」的標本展示區，以及恐龍模型展示喔！,每週一休館，入館門票：全票20元、優待票10元,MULTIPOINT ((121.5818524 24.9978621)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=22
"10",室內區,企鵝館,http://www.zoo.gov.tw/iTAP/05_Exhibit/10_PenguinHouse.jpg,企鵝館是「國王企鵝」及「黑腳企鵝」的家，牠們是不會飛的水生鳥類，牠們全是游泳的專家，在水裡潛泳可以「飛」得又快又好。在觀賞可愛的企鵝之餘，也可以在企鵝館了解牠們的分布、形態特徵、生活習性及繁殖求偶行為喔！,每月第二個週一休館,MULTIPOINT ((121.5911959 24.9929758)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=9
"11",室內區,無尾熊館,http://www.zoo.gov.tw/iTAP/05_Exhibit/11_KoalaHouse.jpg,無尾熊為最具代表性的有袋目動物之一。來自澳洲「庫倫賓野生動物保護區」，代表城市友誼並肩負保育、教育使命的無尾熊們，自引進以來一直都是眾所矚目的焦點。無尾熊館設有多個獨立空間，每間屋頂都有天窗可以讓陽光照射進來。在適當天氣時，無尾熊偶爾也會到戶外場地活動，享受溫暖的陽光。,,MULTIPOINT ((121.5828744 24.9982291)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=7
"12",室內區,兩棲爬蟲動物館,http://www.zoo.gov.tw/iTAP/05_Exhibit/12_AmphibianReptile.jpg,本館包含世界動物區、臺灣兩棲爬蟲動物區與教育解說廊道3個展示區塊，分別展示介紹世界各地與臺灣土地上的兩棲、爬蟲動物，教育解說廊道則介紹兩棲、爬蟲動物的生態與面臨困境。館內還有兩棲爬蟲教室提供相關課程及定期的保姆講古教育解說活動，希望藉由各類動物、寫實模型、互動教材與文化藝品的多元展示，引導遊客進入兩棲爬蟲動物的奧秘世界。,每月第三個週一休館,MULTIPOINT ((121.5898494 24.9940697)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=10
"13",室內區,昆蟲館,http://www.zoo.gov.tw/iTAP/05_Exhibit/13_Insectarium.jpg,昆蟲館分為五大區域：序幕大廳、多媒體視聽教室、臺灣昆蟲區、生態展示室、昆蟲特展區。除了介紹昆蟲的起源與演化、構造與適應，更有溫室及生態網室，讓遊客身處昆蟲圍繞的環境中。館區後方還有一個擁有豐富昆蟲資源的「蟲蟲探索谷」，為本園進行戶外生態解說教育的場所之一。,每月第四個週一休館,MULTIPOINT ((121.5807004 24.9967402)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=5
"14",室內區,新光特展館(大貓熊館),http://www.zoo.gov.tw/iTAP/05_Exhibit/14_PandaHouse.jpg,館內包括一個戶外展示場和兩個室內展示場，提供多樣的活動空間及攀爬、遮蔭設施，還有大小石塊及流瀑水。戶外展示場則模擬大貓熊野外棲息地，草坪寬闊，並以濃綠喬木構成背景。,每月第一個週一休館,MULTIPOINT ((121.5830956 24.9968265)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=8
"15",室內區,熱帶雨林室內館(穿山甲館),http://www.zoo.gov.tw/iTAP/05_Exhibit/15_PangolinDome.jpg,位在熱帶雨林區的穿山甲館，是以臺灣穿山甲意象為造型，並以南美洲亞馬遜河流域環境為展示主軸，顯現熱帶雨林的生物多樣性特色與氛圍。藉由高層空間，融合水域、樹林、樹冠層的沉浸式複合生態系，使遊客如同置身雨林中，以不同感官體驗雨林多樣的生物組成，了解保育雨林的重要性，進而支持參與雨林保育。,,MULTIPOINT ((121.5828662 24.9967279)),http://www.zoo.gov.tw/introduce/gq.aspx?tid=11
